247.574,357,244.871,365
49.9535,366,50.1915,351
292.071,365,292.024,347
296.459,354,295.541,344
45.7218,222,43.6844,275
430.416,297,433.25,260
240,302.966,110,303.015
57.7289,0,45.795,215
77.1782,55,75.5024,101
45.1219,236,45.7245,219
446,226,446,208
446,308.147,358,308.023
197.779,79,199.368,18
197.555,84,199.049,38
449,312.066,358,311.932
260.788,390,262.926,379
449.876,227,448.278,215
58.2103,54,60.4503,2
131.325,232,138.739,2
107.039,299,106.956,285
188,316.799,165,318.181
175,392.892,1,393.907
70.253,193,67.7141,277
403,297,403,286
74,57.7106,60,56.7186
196.72,203,198.036,79
45.9159,277,56.9953,59
451.687,278,449.396,231
241,284,241,258
453.338,310,452.218,289
637,310.53,455,312.17
58.8214,57,57.7727,40
201.002,78,201.379,58
52.3971,96,49.7016,143
45,218.261,28,218.212
67,230.17,50,229.607
241.081,252,240.91,191
98,280.165,1,279.272
455.279,355,453.55,315
203,13,203,1
200.516,53,203.388,1
309.336,36,310.867,2
153,76,142,76
460.815,196,457.864,203
44,230.212,29,229.531
199,13,199,1
152,79.1501,141,78.4815
199.717,126,201.348,60
137.153,162,136.885,111
131,66.6176,121,67.1504
450.193,245,449.031,215
446.224,300,446.357,230
142,8,142,1
135,228,135,207
132.502,284,134.832,232
595,357.935,589,362.052
77.6945,45,78.9142,23
69,219,56,219
503,282.758,472,283.14
430.316,301,431.437,280
197,15.193,183,14.5404
74,47.1874,61,46.348
73,102.48,57,101.684
132.874,274,135.383,222
465,308,454,308
140.319,73,138.967,4
260.415,83,264.251,66
426,284.145,405,283.932
588.034,378,587.791,367
359.216,153,358.902,137
258.264,204,264.608,191
626,296.541,614,291.767
446,300.756,432,301.105
244.084,389,243.758,376
215,16,204,16
259,109.85,242,108.706
256.97,178,264.105,161
581,298.59,565,294.36
184.13,51,183.678,1
255.964,77,263.561,38
215,82.0083,202,81.0171
257,86.2079,243,84.8865
464,189.236,360,186.274
74.3842,107,71.1031,191
242,392.92,198,393.169
468.079,85,465.28,65
137.735,110,138.665,81
258,133.961,245,132.796
47,188,29,188
46.3445,213,47.2307,189
215,206,200,206
257,254,257,236
239.821,302,241.3,258
119.479,82,120.771,67
181.947,126,182.84,83
216,129.115,203,128.742
478.852,157,476.424,132
462,192.425,362,189.575
301.98,382,299.64,390
1.93777,99,7.08333,20
77.7462,45,80.2808,1
255,36,245,36
637,70.5366,342,51.0225
429,92.1404,409,90.5462
261,106.682,245,105.903
257,204.648,241,204.411
197.845,284,200.111,131
553,365,536,365
239,370.536,193,372.321
180,372.236,90,372.83
259.074,35,265.224,1
356.113,24,354.926,3
421,91.1225,382,89.3429
256.945,130,256.901,88
130.469,285,131.506,224
257,280,257,262
428,291.724,394,301.872
614,291.348,584,298.114
406,60.9959,357,57.8841
377,89.2127,358,87.6248
637,129.829,355,116.12
256.822,155,257.082,135
255,179.984,244,178.824
254,182.688,241,181.74
638,191.384,357,183.019
253,207.615,241,206.74
257,228,257,211
265.253,289,259.45,295
262.882,17,257.521,36
255,39,246,39
357,85,357,58
214,88.9622,202,87.728
637,132.687,356,119.275
435,224.257,414,223.265
257,258.842,241,257.647
518,363,510,363
504,387,504,377
218,13,218,1
55,19.1024,41,18.7937
638,170.612,354,160.069
71.0011,277,83.7908,1
426,287.684,404,288.142
449.534,338,445.499,262
429,28.8974,408,28.7267
257,57,257,42
480,66.1377,411,60.9024
456,93.4348,434,91.7137
638,106.878,354,91.0253
638,109.948,353,94.0569
475,127.481,359,122.18
461.805,158,460.952,137
381.035,137,381.925,155
67,189,56,189
454.711,223,456.743,213
94.6317,276,97.1325,176
467,288,459,288
257.107,310,256.736,284
46,379.711,1,380.877
518,390.221,507,389.446
528,392.749,458,390.202
638,13.6264,472,0.434076
620,17.648,579,14.0672
257,34,257,18
638,48.4503,338,26.6221
638,51.6052,338,29.4327
638,73.5186,352,54.4634
637,76.3005,571,71.6513
377,183.471,354,183.112
256.814,204,257.086,185
335.694,190,311.038,219
340,227.196,309,257.056
255,314,243,314
584,365,574,365
157,13.1088,143,12.7579
400,27.7643,382,26.5693
0.880006,167,12.0248,2
628,103.196,606,102.543
440.949,224,439.744,201
462,224,455,224
489,225.125,467,224.724
359.613,348,356.081,264
270.675,338,263.116,319
286,366.305,271,360.638
238.055,391,238.945,376
638,16.6025,483,3.40146
601.112,43,598.702,19
198,54.3747,182,53.8606
416,61.293,399,60.5823
117.207,120,122.023,6
637,167.469,356,157.028
151,162.578,138,161.772
424,223.934,385,222.209
444,230.266,357,228.597
637,233.347,456,230.665
152,234.533,142,236.74
629.752,104,626.774,77
257,176,257,161
383.662,196,384.042,222
443,227.043,355,225.616
638,230.437,455,227.533
258,284.202,218,283.692
191,286.954,108,287.169
241.117,311,240.424,304
257,11,257,1
448,31.1452,434,30.024
638,135.593,561,131.742
410.99,152,409.704,133
384.195,155,383.91,137
361.308,220,360.085,191
192,206.06,179,205.604
339.125,347,337.592,266
548,341.447,537,343.589
483.55,370,482.995,360
445,368.137,397,369.302
638,383.799,595,384.73
191,393,183,393
256.551,13,260.66,1
403.072,26,402.828,7
638,19.2004,624,17.9611
567.667,36,566.237,18
217,55.2421,203,54.8912
434,153.344,421,153.084
612.567,164,610.716,147
97.8398,170,105.497,2
334.456,188,309.413,217
638,194.332,467,189.373
638,197.452,537,193.699
261.851,214,258.899,221
431,264.012,356,263.96
225.286,345,224.875,307
349.556,369,345.725,361
175,398.506,3,400.403
62,403.078,2,403.338
623.877,45,621.163,23
406.282,89,404.861,62
602,102.066,586,100.791
26.2892,188,32.9177,101
435.157,153,434.558,133
116.572,159,116.873,128
630,164,615,164
355.145,226,353.714,185
92,275.984,24,277.139
381,325,381,316
412,348.925,362,349.151
241,360,241,326
339.041,341,338.639,350
447.207,349,447.698,364
364,3.19358,357,2.13394
377,13,377,2
330.715,7,304.355,77
378.994,84,378.926,62
602,101.915,560,99.5257
601.863,76,604.127,102
381,131.283,359,130.031
476,152,466,152
96.5594,187,96.0815,173
194.76,346,195.099,317
76,332.927,68,333.923
257,348,257,335
197.1,353,197.678,318
420.904,360,420.933,350
525,362,525,341
389,369.945,365,368.962
449,385.986,335,388.305
312.461,24,320.539,1
466,4.45115,442,2.50307
567.184,34,566.367,14
261.838,34,261.705,17
134,85,121,85
308.416,147,333.983,100
557.839,150,556.793,132
475,151.972,464,152.285
558.8,159,556.709,132
588.69,163,586.156,136
610,163,591,163
423,208.68,413,209.138
337,265.091,311,282.405
196,284,196,211
631,304.757,613,307.27
188,314.593,145,314.893
65.0001,352,64.9999,335
518.484,352,514.789,342
344,370,344,362
273,400.156,44,403.391
366,5,356,5
405.686,26,404.735,8
431,28,431,11
597,42.7541,580,41.3979
256.829,82,256.642,63
562.282,160,560.311,134
630.807,138,632.887,164
483,264.241,453,264.042
257,321.939,243,321.821
447,347.969,416,348.572
361,361,361,353
259,396.824,182,398.407
428.852,29,427.791,2
636,19.1712,587,14.8399
620.663,40,618.426,18
621.131,44,618.344,18
217.729,68,216.865,44
385,222.509,364,221.848
76,328.493,2,329.035
64,333.151,40,332.942
349.07,355,348.728,367
534,363,534,356
372,364,364,364
259.828,33,259.33,20
434.191,90,433.559,67
337.099,116,307.17,165
407,130.994,381,129.715
437,156.778,429,156.778
205,294.179,178,293.178
106.717,355,107.988,306
212.252,360,214.192,350
202.101,19,203.335,1
598.274,41,596.592,20
408.207,90,407.504,62
381.952,86,380.745,70
152,205,138,205
617,226.879,572,226.774
634,265,543,265
224,293.897,211,293.856
134.56,361,136.44,354
39.0001,374,38.9999,362
140.513,27,141.202,14
577.635,39,575.623,17
637,45.8957,625,42.896
606.324,101,603.972,75
458.129,91,456.773,67
582.996,98,580.66,73
611.17,145,611.854,162
635.276,162,632.71,135
438.385,223,437.661,196
386,221,386,195
411.132,222,410.738,194
628,277.57,618,275.885
137,309.266,127,307.155
603,307.061,564,307.071
471,328.916,457,329.217
352,364,351.039,354
638,368.602,616,367.057
74,380.138,64,379.68
308.632,147,337.643,91
72,105.923,60,105.923
330.83,138,333.56,131
413,204,413,193
334.838,227,334.991,193
464.94,219,464.072,195
467.433,223,465.656,195
71,334.329,62,333.111
36,374,25,374
147,460.579,6,466.464
56.5758,16,57.9923,3
452,8.2859,432,6.90844
571.079,99,570.572,72
460.241,93,458.849,67
353.279,155,351.882,123
215,209,202,209
414.06,217,412.883,210
77,313.265,34,312.958
610.018,362,608.917,349
446,372.933,384,374.358
131.173,9,128.926,2
490.171,34,489.921,10
575.209,38,573.921,21
334.254,54,306.967,112
434.132,90,433.31,64
493.283,95,491.927,71
332.026,98,305.894,147
474,129.787,375,125.161
72.7574,143,74.2792,122
0.732926,189,2.07401,169
68,192,56,192
386.076,208,385.614,192
521,274.502,515,280.164
499,303.321,492,305.179
222.969,338,222.969,309
534,363,534,347
38,376.595,26,377.126
323.668,16,327.242,7
621.968,29,621.311,19
131,50.9094,121,51.2959
538,132.135,514,131.024
561.715,160,562.897,134
582,162,566,162
383.31,190,384.149,210
423,206.381,415,205.842
113.94,222,115.156,165
193,209,182,209
106.266,281,116.845,1
638,227.373,621,226.902
569,315.129,559,316.519
132.087,359,133.317,313
18.0813,357,19.3078,335
38.9005,374,39.3408,357
465,385.46,457,385.873
266,406.315,148,404.875
403.614,152,407.526,134
436,197.138,426,196.68
134.663,203,137.156,147
596,293,596,286
197,300,165,300
36,333,1,333
76,357.68,66,358.138
446,357.984,425,357.9
43.5093,334,42.0863,376
408.165,90,407.162,65
128.3,80,127.929,70
486,130,479,130
578,141.253,564,150.562
434,194.747,426,194.476
439.833,197,440.549,221
173.883,278,176.398,59
603,226.935,565,226.299
19,274.805,1,275.09
596.349,293,594.726,283
174,283.862,154,283.064
349.069,351,348.621,367
351.883,361,350.849,351
45,371,45,361
359,375.515,341,372.784
144,405.08,85,404.826
561,13.8789,506,9.89431
574.733,30,574.279,18
179.489,151,179.993,93
538,131.756,512,131.077
609.608,162,607.975,139
176.953,298,178.342,174
301.591,336,300.777,264
599,292,599,283
1.87827,372,2.27558,360
398,377.064,383,377.211
143,407.076,85,407.066
37.4974,20,38.1185,1
180.429,55,183.591,1
320.234,67,323.059,60
350.735,80,350.739,40
510,131.22,479,129.548
356.161,154,355.583,121
540.277,161,537.041,132
615.728,225,613.643,199
564,281,564,268
78,311,59,311
474,329.158,457,328.935
414.185,347,412.962,316
301.651,340,301.079,286
433,348.258,397,349.228
632,379.172,600,379.566
54,385.986,4,387.989
54,388.184,3,390.113
491.009,212,489.741,195
68,284.005,1,283.262
402.075,340,400.378,316
419,366.103,404,365.772
266,405.59,144,407.107
147,463.392,25,467.63
567,70.8573,546,72.1522
533.232,98,531.845,73
513.305,159,512.006,134
117.399,153,115.807,163
259.83,182,263.059,174
65,302.442,27,301.985
78,305,1,305
270.505,341,266.896,328
391,369.09,365,371.11
470,375,460,375
473,389,473,380
600,439.551,457,447.304
120.652,15,119.748,1
487,7.19718,468,6.81242
8.04748,12,9.17327,2
500.643,35,502.783,8
536,69.1378,527,68.7261
309.534,92,329.279,46
520,95.9079,510,96.2774
218.561,128,219.113,93
638.281,214,637.219,199
491.562,224,490.882,216
25.728,271,27.1728,233
612,281.202,605,279.966
126,308.421,119,307.829
572,324.505,564,325.05
404.307,350,403.841,339
129.562,364,131.072,309
483,347.559,458,347.78
97.1094,367,97.2831,322
213,428.254,1,433.313
636,436.735,610,438.868
44.8558,437,15.6124,467
62.7926,16,64.119,1
155.996,61,158.578,41
35.0927,95,37.5554,59
215.884,164,217.187,133
152.637,281,153.141,244
168.323,277,170.256,206
74,307,1,307
93.8787,387,94.7268,372
496,417.096,235,427.637
286,420.024,274,421.253
18,466.205,1,465.927
158.805,30,158.101,3
331.061,34,331.015,2
579.741,97,579.175,73
630,199,619,199
517,223,517,205
618.165,225,615.835,201
111.321,281,112.331,245
270,287,270,306
37,297.27,2,298.26
367.008,316,367.671,326
368,347,368,321
16,354.261,6,353.266
315.635,358,313.089,290
75,374.25,67,373.305
637,409.47,507,417.027
94,420.83,1,422.306
636,434.669,479,444.06
316.274,12,314.789,2
552,69.9975,527,71.2025
508.227,94,506.843,73
168.4,277,172.605,114
490.892,215,490.035,201
340.044,259,339.752,234
429,267,414,267
201,284,201,245
194,283.78,154,283.745
584,324.462,564,324.785
35.0001,350,34.9999,339
358,386,358,377
41,383.771,29,384.115
462,403.597,449,404.164
16.794,466,6.24918,478
33.0635,2,30.8896,27
107,35,107,20
616,44.1257,602,42.7455
204.318,50,202.708,1
16.8395,81,18.1605,72
282,74.1428,274,73.3593
408,114,408,101
132,124,132,108
575,139.329,564,147.413
307.079,216,305.585,182
